,num_parent_commits,merged_from_pull,lines_added,lines_deleted,lines_total,files_total,num_unique_file_formats,combined
493,1,True,10,10,20,1,1,fail
494,1,True,0,1,1,1,1,pass
495,1,True,0,1,1,1,1,fail
496,1,True,0,1,1,1,1,fail
497,1,True,31,16,47,1,1,fail
498,1,True,5,0,5,1,1,fail
499,1,True,2,0,2,1,1,fail
500,1,True,40,2,42,1,1,fail
505,1,True,12,11,23,2,1,fail
506,1,True,50,151,201,1,1,fail
507,1,True,1,1,2,1,1,pass
508,1,True,4,2,6,1,1,fail
509,1,True,1,1,2,1,1,pass
510,1,True,18,7,25,2,1,fail
511,1,True,26,11,37,1,1,fail
512,1,True,123,38,161,1,1,fail
513,1,True,11,10,21,1,1,pass
514,1,True,49,13,62,3,1,pass
515,1,True,1,1,2,1,1,pass
516,2,True,3,8,11,1,1,fail
517,1,True,61,84,145,6,2,pass
518,1,True,3,8,11,1,1,fail
520,1,True,3,7,10,2,1,pass
521,1,True,1,3,4,1,1,pass
522,1,True,20,24,44,3,2,fail
523,1,True,1,1,2,1,1,pass
524,1,True,2,14,16,2,1,fail
525,1,True,188,90,278,3,2,pass
526,2,True,18,4,22,2,1,pass
527,2,True,25,1,26,3,2,pass
528,1,True,5,5,10,2,1,pass
529,1,True,1,1,2,1,1,pass
530,1,True,0,2,2,1,1,fail
532,1,True,0,4,4,1,1,fail
534,1,True,4,6,10,2,1,fail
536,1,True,1,1,2,1,1,pass
538,1,True,14,27,41,5,2,fail
540,2,True,5661,4784,10445,29,3,fail
541,1,True,1,3,4,1,1,pass
543,1,True,1,1,2,1,1,fail
544,1,True,5663,4784,10447,29,3,fail
545,2,True,13,18,31,4,1,fail
546,1,True,1,1,2,1,1,pass
547,2,True,34,17,51,1,1,fail
548,1,True,13,18,31,4,1,fail
549,2,True,24,24,48,5,1,fail
550,1,True,1,1,2,1,1,fail
551,1,True,24,24,48,5,1,fail
553,1,True,17,7,24,1,1,pass
556,2,True,2,2,4,1,1,fail
557,2,True,23,4,27,4,2,fail
558,1,True,2,2,4,1,1,pass
559,1,True,1,1,2,1,1,pass
560,1,True,0,4,4,1,1,fail
